Go.	යන්න.
Hi.	ආයුබෝවන්.
Run.	දුවන්න.
Who?	කවුද?
Wow!	වාව්!
Fire!	ගිනි!
Help!	උදව්!
Hide.   සඟවන්න.	
Jump.   පනින්න.	
Stop!   නවත්වන්න!	
Wait!   ඉන්න!	
Wait.   ඉන්න.	
Begin.  ආරම්භය.	
Go on.  යන්න.		
Hello.	ආයුබෝවන්.
I ran.	මම දිව්වා.
I try.	මම උත්සාහ කරනවා.
I won!	මම දිනුවා!
Oh no!	අපොයි නෑ!
Relax.	සන්සුන් වන්න.
Smile.	සිනාසෙන්න.
Attack!	පහර දෙන්න!
Attack!	පහර දෙන්න!
Get up.	නැගිටින්න.
Go now.	දැන් යන්න.
Got it!	තේරුම් ගත්තා ද!
Got it?	තේරුම් ගත්තා ද?
Got it?	තේරුම් ගත්තා ද?
He ran.	ඔහු දිව්වා.
Hop in.	ඇතුල් වන්න.
Hug me.	මාව සිඹින්න.
I know.	මම දන්නවා.
I fell.	මම දරුණුයි.
I lied.	මම බොරු කිව්වා.
I left.	මම පිටත් වුණා.
I lost.	මම අතරමං වුණා.
I paid.	මම ගෙව්වා.
I quit.	මම අත්හැරියා.
I'm 19.	මට 19.
I'm OK.	මම හොඳින්.
I'm up.	මම නැගිට්ටා.
Listen.	සවන් දෙන්න.
No way!	කොහෙත්ම නැහැ!
Really?	ඇත්තටම?
Thanks.	ස්තුතියි.
We try.	අපි උත්සාහ කරමු.
We won.	අපි දිනුවා.
Why me?	ඇයි මම?
Ask Tom.	ටොම්ගෙන් අහන්න.
Awesome!	නියමයි!
Be calm.	සන්සුන් වන්න.
Be cool.	සන්සුන් වෙන්න.
Be nice.	ලස්සන වෙන්න.
Beat it.	යනවා යන්න.
Call me.	මට අමතන්න.
Call us.	අප අමතන්න.
Come in.	එන්න.
Come on.	ඉදිරියට එන්න.
Get Tom.	ටොම් ගන්න.
Get out!	පලයන් එළියට!
Get out.	පලයන් එළියට.
Go away!	අහකට යන්න!
Go away.	අහකට යන්න.
